Node No,Hashing Power,Speed,Blocks Mined,Blocks in Longest Chain,Ratio
0,0.02,high cpu,4,4,1.0
1,0.02,high cpu,8,8,1.0
2,0.02,high cpu,6,6,1.0
3,0.02,high cpu,11,10,0.9090909090909091
4,0.02,high cpu,4,4,1.0
5,0.02,high cpu,9,9,1.0
6,0.02,high cpu,6,6,1.0
7,0.02,high cpu,5,5,1.0
8,0.02,high cpu,8,8,1.0
9,0.02,high cpu,3,3,1.0
10,0.02,high cpu,5,5,1.0
11,0.02,high cpu,6,6,1.0
12,0.02,high cpu,8,8,1.0
13,0.02,high cpu,9,9,1.0
14,0.02,high cpu,5,5,1.0
15,0.02,high cpu,13,13,1.0
16,0.02,high cpu,8,8,1.0
17,0.02,high cpu,8,8,1.0
18,0.02,high cpu,3,3,1.0
19,0.02,high cpu,8,8,1.0
20,0.02,high cpu,2,2,1.0
21,0.02,high cpu,4,4,1.0
22,0.02,high cpu,5,5,1.0
23,0.02,high cpu,6,6,1.0
24,0.02,high cpu,7,7,1.0
25,0.02,high cpu,7,7,1.0
26,0.02,high cpu,3,3,1.0
27,0.02,high cpu,7,7,1.0
28,0.02,high cpu,7,7,1.0
29,0.02,high cpu,1,1,1.0
30,0.02,high cpu,9,9,1.0
31,0.02,high cpu,3,3,1.0
32,0.02,high cpu,7,7,1.0
33,0.02,high cpu,4,4,1.0
34,0.02,high cpu,7,7,1.0
35,0.02,high cpu,5,5,1.0
36,0.02,high cpu,7,7,1.0
37,0.02,high cpu,7,7,1.0
38,0.02,high cpu,5,5,1.0
39,0.02,high cpu,10,10,1.0
40,0.02,high cpu,7,7,1.0
41,0.02,high cpu,4,4,1.0
42,0.02,high cpu,7,7,1.0
43,0.02,high cpu,4,4,1.0
44,0.02,high cpu,7,7,1.0
45,0.02,high cpu,4,4,1.0
46,0.02,high cpu,11,11,1.0
47,0.02,high cpu,3,3,1.0
48,0.02,high cpu,3,3,1.0
49,0.02,high cpu,5,5,1.0
